community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
7,2025,32.0,3626,3369,0.9291,257,0.0709,25.8833,180.6125,310.0174,4166.0667,5198.3719,0.4476,0.5987,0.6889,0.8199,False,False
7,2025,43.0,15986,14760,0.9233,1226,0.0767,22.1881,110.7372,218.3433,2892.9983,5071.226,0.4804,0.6414,0.7385,0.8456,False,False
7,2025,44.0,17,16,0.9412,1,0.0588,32.7733,58.3593,233.1863,7357.9925,7357.9925,0.4706,0.7059,0.7647,0.8824,True,True
8,2021,2.0,3362,3299,0.9813,63,0.0187,60.9531,536.0176,1518.2461,38771.4267,41290.1204,0.3894,0.5164,0.6029,0.7638,False,False
8,2021,8.0,1,1,1.0,0,0.0,10416.3278,10416.3278,10416.3278,,,0.0,0.0,0.0,0.0,True,True
8,2021,27.0,2698,2681,0.9937,17,0.0063,96.8217,566.6347,990.3504,39493.4022,40353.5289,0.3621,0.4726,0.5675,0.7976,False,False
8,2021,42.0,5721,5661,0.9895,60,0.0105,25.0581,185.1575,899.9489,38651.3571,39775.4906,0.4849,0.652,0.7373,0.8249,False,False
8,2021,43.0,609,602,0.9885,7,0.0115,45.5935,427.5288,1275.9687,39056.3328,39082.7558,0.4204,0.5419,0.642,0.78,False,False
8,2022,2.0,3632,3561,0.9805,71,0.0195,71.6131,781.49,1423.0507,28761.7061,31873.8544,0.3596,0.4912,0.5683,0.7225,False,False
8,2022,27.0,2730,2712,0.9934,18,0.0066,74.92,575.9347,909.6551,29340.7761,32883.9371,0.3806,0.4901,0.5832,0.778,False,False
8,2022,32.0,1,1,1.0,0,0.0,175.8933,175.8933,175.8933,,,0.0,0.0,0.0,1.0,True,True
8,2022,42.0,6480,6364,0.9821,116,0.0179,24.9018,239.0699,1018.3747,28693.5722,30823.1581,0.4833,0.6329,0.7187,0.8086,False,False
8,2022,43.0,650,647,0.9954,3,0.0046,64.1014,531.4926,1194.2278,28817.1239,29605.4739,0.3662,0.5231,0.6062,0.7754,False,False
8,2023,2.0,5167,5063,0.9799,104,0.0201,33.2164,316.1335,836.6006,22494.735,25003.0681,0.443,0.5798,0.6702,0.8107,False,False
8,2023,27.0,2171,2137,0.9843,34,0.0157,44.8858,380.5106,876.3031,21936.9956,23857.1363,0.4344,0.5578,0.6605,0.8135,False,False
8,2023,32.0,11,11,1.0,0,0.0,50.5619,139.9119,163.5832,,,0.3636,0.5455,0.8182,1.0,True,True
8,2023,42.0,6138,6036,0.9834,102,0.0166,21.8242,162.9237,736.6262,21265.4583,23316.0377,0.5179,0.6548,0.7411,0.8229,False,False
8,2023,43.0,388,381,0.982,7,0.018,71.5694,434.6644,1203.4067,21559.0033,22185.6362,0.3376,0.4923,0.6082,0.7938,False,False
8,2024,2.0,6247,5973,0.9561,274,0.0439,22.0822,211.9336,721.9886,14099.1899,15334.8449,0.4983,0.6245,0.6968,0.8007,False,False
8,2024,27.0,2523,2429,0.9627,94,0.0373,21.5908,314.7072,505.7181,13550.8542,14985.59,0.4978,0.5969,0.6762,0.8046,False,False
8,2024,32.0,6,6,1.0,0,0.0,12.3667,80.0744,39.9826,,,0.5,0.6667,1.0,1.0,True,True
8,2024,42.0,6498,6283,0.9669,215,0.0331,22.5644,147.7251,512.3359,13329.6942,15337.7104,0.4969,0.6497,0.7362,0.8179,False,False
8,2024,43.0,618,587,0.9498,31,0.0502,43.5014,265.3261,583.6272,13143.1922,15353.3558,0.3948,0.5453,0.6586,0.7994,False,False
8,2025,2.0,6023,5553,0.922,470,0.078,21.5722,135.4244,300.0602,3080.3647,5527.1316,0.4911,0.6299,0.7158,0.8106,False,False
8,2025,27.0,2655,2484,0.9356,171,0.0644,28.3024,336.6781,377.1497,3175.4133,5395.9526,0.4512,0.5669,0.6403,0.7763,False,False
8,2025,32.0,9,9,1.0,0,0.0,3.9967,63.1836,228.9459,,,0.6667,0.7778,0.7778,0.8889,True,True
8,2025,42.0,6516,6038,0.9266,478,0.0734,22.2479,125.6651,282.7137,3503.3442,5358.7585,0.4785,0.6304,0.7247,0.8163,False,False
8,2025,43.0,685,611,0.892,74,0.108,33.51,297.3462,368.5172,3565.3942,5340.2046,0.4088,0.527,0.6219,0.746,False,False
9,2021,41.0,3135,3055,0.9745,80,0.0255,229.2364,2251.2106,2227.5987,38843.1503,38989.7902,0.2456,0.3592,0.4552,0.6077,False,False
9,2022,41.0,3015,2969,0.9847,46,0.0153,237.5472,1300.4608,1980.5134,31540.9903,32582.0331,0.2285,0.3413,0.4504,0.6531,False,False
9,2023,41.0,2877,2786,0.9684,91,0.0316,142.5797,625.4175,1053.2035,21682.3464,23731.3603,0.2492,0.3876,0.5096,0.7487,False,False
9,2024,41.0,3557,3285,0.9235,272,0.0765,71.5342,451.5503,895.5608,14849.9715,17362.8312,0.3458,0.4656,0.5724,0.7456,False,False
9,2025,41.0,3368,2933,0.8708,435,0.1292,91.7911,544.8056,484.4108,3928.0692,5792.5971,0.3174,0.4172,0.5053,0.7004,False,False
10,2021,39.0,752,734,0.9761,18,0.0239,69.9861,891.9555,1397.2064,38980.0011,40780.8868,0.371,0.4934,0.5771,0.7261,False,False
10,2021,41.0,8632,8439,0.9776,193,0.0224,168.9142,1775.9881,1935.7269,38916.5069,39003.7422,0.2556,0.3822,0.4882,0.6498,False,False
10,2021,45.0,2356,2323,0.986,33,0.014,120.9556,761.2893,1498.442,38774.9592,39345.6553,0.2882,0.4274,0.5255,0.7339,False,False
10,2022,39.0,703,690,0.9815,13,0.0185,206.2428,1143.4279,1498.2108,31399.2967,32375.5292,0.2688,0.3642,0.468,0.6828,False,False
10,2022,41.0,8371,8263,0.9871,108,0.0129,206.9564,1179.1149,1755.2214,30977.8781,32589.7054,0.253,0.3716,0.4706,0.6742,False,False
10,2022,45.0,1883,1873,0.9947,10,0.0053,147.1453,621.7747,1277.5749,29132.5736,33113.8686,0.2592,0.4121,0.5119,0.7605,False,False
10,2023,39.0,645,626,0.9705,19,0.0295,96.2479,429.9134,907.907,21368.2344,23430.7701,0.3318,0.445,0.5612,0.7814,False,False
10,2023,41.0,9014,8739,0.9695,275,0.0305,90.5672,481.6172,814.8827,22162.0097,24944.2169,0.3285,0.4592,0.5696,0.7993,False,False
10,2023,45.0,1470,1445,0.983,25,0.017,94.3081,502.7858,938.2884,23697.4164,26094.0614,0.285,0.4558,0.5653,0.8156,False,False
10,2023,,6,6,1.0,0,0.0,12.2074,40.6498,244.5055,,,0.6667,0.8333,0.8333,0.8333,True,True
10,2024,39.0,1053,1005,0.9544,48,0.0456,20.1489,275.6369,477.8054,13848.9751,15258.6402,0.5014,0.5935,0.6619,0.8414,False,False
